epoch,recent_novelty,overall_diversity,overall_saturation,pressure,reject_percentile,max_reject_percentile
1,1.000000,0.026393,0.000633,0.508044,7.620667,15.000000
2,1.000000,0.026393,0.000690,0.508056,7.620839,15.000000
3,1.000000,0.026393,0.001125,0.508143,7.622143,15.000000
4,1.000000,0.026393,0.001437,0.508205,7.623081,15.000000
5,1.000000,0.026393,0.001813,0.508280,7.624206,15.000000
6,1.000000,0.026393,0.002000,0.508318,7.624768,15.000000
7,1.000000,0.026393,0.002375,0.508393,7.625893,15.000000
8,1.000000,0.026393,0.002938,0.508505,7.627581,15.000000
9,1.000000,0.027859,0.003375,0.509033,7.635492,15.000000
10,1.000000,0.027859,0.003625,0.509083,7.636242,15.000000
11,1.000000,0.027859,0.003812,0.509120,7.636804,15.000000
12,1.000000,0.029326,0.004125,0.509623,7.644340,15.000000
13,1.000000,0.029326,0.004625,0.509723,7.645840,15.000000
14,1.000000,0.029326,0.004750,0.509748,7.646215,15.000000
